ID	D55_H041_T1_20190110	D55_H041_T1_20180201	D60_H041_T1_20180208	D6_H041_T1_20180131	D55_PMN_H041_T0_20180201	D55_PMN_H041_T0_20190110	D60_PMN_H041_T0_20180208	D60_PMN_H041_T0_20181212	D6_PMN_H041_T0_20180131	D55_PMN_H041_T1_20180201	D55_PMN_H041_T1_20190110	D60_PMN_H041_T1_20181212	D6_PMN_H041_T1_20180131
H041_1922	730	1676	1054	1016	1019	1689	2232	1258	1181	199	768	1226	331
H041_1925	1205	2505	1080	2994	790	722	950	651	663	131	531	743	272
H041_1926	5658	11536	5922	10448	2966	2406	3533	2929	3004	632	2053	3630	1078
H041_1927	2135	7096	3078	6263	1770	1989	2961	1426	2089	393	1274	1929	639
H041_1928	17	26	6	26	5	6	9	8	7	3	7	4	2
H041_1929	2626	10144	4432	5110	693	3206	4177	1576	1717	192	2566	3021	236
H041_193	1109	2573	1142	2529	939	626	1130	1039	641	188	524	1148	244
H041_1930	4504	14432	6917	9731	2144	5361	7206	3841	3698	478	4334	5747	676
H041_1931	73	225	147	82	36	20	102	9	29	5	7	3	5
H041_1932	147	227	210	101	38	51	98	21	24	2	27	21	3
H041_1933	103	331	280	212	275	209	437	223	142	53	55	94	65
H041_1934	150	451	285	191	291	380	605	316	256	58	101	151	50
H041_1935	4339	9266	4833	8870	3149	3018	3675	2304	2376	650	1903	2585	1047
H041_1936	8677	19723	10072	17515	5768	4141	6155	4917	4267	1222	3473	6055	2140
H041_1937	2142	4996	2712	4816	2510	1551	2366	2024	1604	488	1243	2402	805
H041_1938	6566	11528	5889	12735	1303	1886	2180	1832	1263	431	2182	3501	728
H041_1939	2062	2947	1621	2737	1745	1462	1732	1289	878	370	1225	1787	532
H041_194	22	46	27	45	49	29	51	24	24	14	22	15	8
H041_1940	1342	2405	1406	1935	1382	932	1265	1122	594	330	701	1330	406
H041_1941	885	1716	1461	1307	995	1003	1515	895	516	280	594	1026	235
H041_1942	2433	3741	1834	3185	1460	1386	1690	1310	980	386	819	1451	513
H041_1943	576	1228	727	922	601	490	976	422	465	116	329	538	177
H041_1944	4471	10668	4436	9840	2157	1675	2512	1850	1619	674	1755	2839	952
H041_1945	13386	21252	11765	21137	8292	7885	10598	5675	4039	2411	6943	9692	2725
H041_1946	3574	3844	1716	5586	327	368	579	117	139	108	678	460	126
H041_1947	4035	3936	2499	3967	1159	1111	1816	1005	613	399	1952	3104	599
H041_1948	3189	8537	2269	6731	3020	1838	2434	1962	2218	966	2876	4929	1606
H041_1949	1163	4530	1246	3599	1274	660	1198	657	810	373	1075	1980	726
H041_195	3735	6477	2855	5401	3572	2718	3624	2711	2602	488	1617	2766	749
H041_1950	16582	36993	12739	36530	5272	3881	5814	5896	3272	1803	7040	14056	2858
H041_1951	4357	9287	4293	9072	1842	2537	2908	2577	2421	383	1572	2337	556
H041_1952	2523	1914	1353	1645	1566	1316	1696	1430	678	299	867	1605	398
H041_1953	1161	1599	969	1488	1137	808	1133	926	559	258	493	838	298
H041_1954	3417	4111	2443	3482	1746	1402	1916	1471	897	416	927	1596	511
H041_1955	1289	2288	801	2539	410	461	472	380	412	94	305	449	139
H041_1956	3672	7991	3936	5395	6673	4012	6497	4371	4072	1019	1775	2870	1424
H041_1957	1748	3785	2257	1862	2645	2661	4195	1878	1890	439	1180	1587	700
H041_1958	1672	1321	1150	1499	635	1081	1057	402	357	136	554	473	183
H041_1959	10747	9913	6559	9247	3704	3524	4566	3771	2241	982	2286	3738	1145
H041_196	52891	138580	44279	130968	1964	1342	1966	1895	2665	588	2535	4449	970
H041_1960	2810	3266	1847	2906	1761	1467	2048	1807	1309	437	960	1561	554
H041_1961	15199	16021	11095	15629	4579	4212	6226	5473	3618	1250	3321	5345	1792
H041_1962	1536	1068	650	1134	784	897	1063	909	556	171	527	955	254
H041_1963	703	1742	1075	1546	120	224	268	70	122	38	204	222	69
H041_1964	3539	3984	2435	3607	2127	2679	4190	2302	1733	431	1476	1998	593
H041_1965	4922	26147	3579	28319	752	733	1100	595	668	492	3794	7316	1147
H041_1966	2010	6097	1292	8256	535	549	825	393	432	185	1606	2653	526
H041_1967	2056	5435	2229	5672	573	673	817	533	530	203	691	979	299
H041_1968	208	657	220	522	41	57	66	70	99	21	59	94	26
H041_1969	7620	17930	4743	31658	3352	6042	4741	4071	4592	2074	6975	8302	3078
H041_197	902	2359	1052	2166	1317	884	1356	995	811	270	566	1025	397
H041_1970	1124	1751	1054	1711	180	427	487	349	276	69	385	468	107
H041_1971	38028	18037	13653	5772	80262	78633	112892	89868	81537	10732	27023	47127	16643
H041_1972	43	119	55	75	69	73	123	51	62	29	52	94	40
H041_1973	7775	13509	6961	13800	3042	5315	8313	1947	3209	1033	4300	5208	1395
H041_1974	1240	2173	1115	1576	1496	2504	2963	2066	1583	329	1963	3215	426
