"130+PMN_1h_vs_130_1h"	"130+PMN_1h_vs_130+PMN_0h"	"3X130+PMN_1h_vs_3X130_1h"	"3X130+PMN_1h_vs_3X130+PMN_0h"
"Opaless3X_48"	0	1	0	1
"Opaless3X_483"	1	0	1	0
"Opaless3X_484"	0	0	1	0
"Opaless3X_487"	0	0	0	1
"Opaless3X_496"	1	0	1	0
"Opaless3X_497"	1	0	1	0
"Opaless3X_498"	1	0	1	0
"Opaless3X_499"	1	0	1	0
"Opaless3X_5"	0	0	0	1
"Opaless3X_500"	0	0	1	0
"Opaless3X_502"	0	0	1	0
"Opaless3X_503"	1	0	1	0
"Opaless3X_51"	0	1	0	1
"Opaless3X_515"	1	0	1	0
"Opaless3X_518"	1	0	0	0
"Opaless3X_520"	0	0	1	0
"Opaless3X_526"	0	1	0	1
"Opaless3X_53"	0	1	0	1
"Opaless3X_530"	1	0	1	0
"Opaless3X_54"	0	0	0	1
"Opaless3X_548"	0	0	1	0
"Opaless3X_556"	0	1	1	1
"Opaless3X_561"	1	0	0	0
"Opaless3X_562"	0	1	0	0
"Opaless3X_569"	0	0	1	0
"Opaless3X_575"	0	1	0	1
"Opaless3X_576"	1	1	1	1
"Opaless3X_58"	1	0	1	0
"Opaless3X_60"	0	0	1	0
"Opaless3X_606"	0	0	1	0
"Opaless3X_613"	1	0	1	1
"Opaless3X_615"	0	0	1	0
"Opaless3X_630"	0	0	0	1
"Opaless3X_631"	0	1	0	1
"Opaless3X_633"	0	0	1	0
"Opaless3X_634"	0	0	0	1
"Opaless3X_638"	0	0	0	1
"Opaless3X_642"	0	0	0	1
"Opaless3X_643"	0	1	0	0
"Opaless3X_644"	0	0	1	0
"Opaless3X_648"	0	0	1	0
"Opaless3X_649"	0	0	1	0
"Opaless3X_651"	0	1	1	1
"Opaless3X_653"	0	1	0	1
"Opaless3X_658"	0	1	0	0
"Opaless3X_661"	0	0	1	0
"Opaless3X_680"	1	0	1	0
"Opaless3X_681"	0	0	0	1
"Opaless3X_682"	0	1	0	1
"Opaless3X_683"	0	1	0	1
"Opaless3X_699"	0	1	1	1
"Opaless3X_700"	0	0	0	1
"Opaless3X_710"	0	0	1	0
"Opaless3X_752"	0	0	1	0
"Opaless3X_753"	1	0	1	0
"Opaless3X_755"	1	0	0	0
"Opaless3X_756"	1	0	1	1
"Opaless3X_757"	1	0	1	1
"Opaless3X_758"	1	0	1	1
"Opaless3X_761"	1	0	1	0
"Opaless3X_763"	0	0	1	0
"Opaless3X_764"	0	0	1	0
"Opaless3X_787"	0	0	0	1
"Opaless3X_788"	0	0	0	1
"Opaless3X_789"	1	0	0	1
"Opaless3X_795"	0	0	1	0
"Opaless3X_799"	1	0	1	0
"Opaless3X_802"	1	0	1	0
"Opaless3X_803"	0	0	1	0
"Opaless3X_805"	1	0	0	0
"Opaless3X_806"	1	0	0	0
"Opaless3X_812"	0	0	1	0
"Opaless3X_829"	0	0	1	0
"Opaless3X_83"	0	0	1	0
"Opaless3X_84"	0	0	0	1
"Opaless3X_840"	0	0	1	0
"Opaless3X_844"	1	0	1	0
"Opaless3X_847"	1	0	1	0
"Opaless3X_867"	1	0	1	0
"Opaless3X_868"	0	0	1	0
"Opaless3X_87"	0	0	0	1
"Opaless3X_873"	0	0	1	0
"Opaless3X_880"	0	0	0	1
"Opaless3X_887"	1	0	1	0
"Opaless3X_89"	1	1	0	1
"Opaless3X_896"	1	0	1	0
"Opaless3X_903"	1	0	1	0
"Opaless3X_904"	1	0	1	0
"Opaless3X_914"	0	1	0	1
"Opaless3X_915"	0	0	1	0
"Opaless3X_933"	0	0	1	0
"Opaless3X_940"	0	0	1	0
"Opaless3X_944"	1	0	1	0
"Opaless3X_946"	1	0	1	1
"Opaless3X_956"	0	0	1	0
"Opaless3X_957"	0	0	1	0
"Opaless3X_958"	1	1	1	1
"Opaless3X_961"	1	0	1	0
"Opaless3X_963"	0	1	0	0
"Opaless3X_965"	0	1	0	1
"Opaless3X_967"	1	0	1	0
"Opaless3X_969"	1	0	1	0
"Opaless3X_972"	0	0	1	0
"Opaless3X_974"	1	0	0	0
"Opaless3X_977"	0	0	1	0
"Opaless3X_982"	0	0	1	0
"Opaless3X_987"	0	0	1	0
