"Time"	"130+PMN_1h_vs_PMN_1h"	"3X130+PMN_1h_vs_PMN_1h"	"H041+PMN_1h_vs_PMN_1h"
"ENSG00000219608"	1	0	0	0
"ENSG00000219665"	1	1	0	0
"ENSG00000219891"	1	0	0	0
"ENSG00000220412"	1	1	1	0
"ENSG00000220987"	1	1	1	1
"ENSG00000222041"	1	0	0	0
"ENSG00000222047"	1	1	0	0
"ENSG00000222898"	1	0	0	0
"ENSG00000224950"	1	1	1	1
"ENSG00000224959"	1	0	0	0
"ENSG00000224967"	1	0	0	0
"ENSG00000224988"	1	0	0	0
"ENSG00000225450"	1	0	0	0
"ENSG00000226312"	1	1	1	1
"ENSG00000226644"	1	1	0	0
"ENSG00000227295"	1	0	0	0
"ENSG00000227591"	1	1	1	0
"ENSG00000228013"	1	1	1	1
"ENSG00000228022"	1	1	0	0
"ENSG00000228140"	1	0	0	0
"ENSG00000228274"	1	0	0	1
"ENSG00000228477"	1	0	0	0
"ENSG00000228485"	1	0	0	0
"ENSG00000228768"	1	0	0	0
"ENSG00000228830"	1	1	0	1
"ENSG00000228863"	1	0	0	0
"ENSG00000228923"	1	0	0	0
"ENSG00000229331"	1	0	0	0
"ENSG00000229419"	1	0	0	0
"ENSG00000229512"	1	0	0	0
"ENSG00000229622"	1	1	0	0
"ENSG00000230295"	1	0	0	0
"ENSG00000230438"	1	0	0	0
"ENSG00000230647"	1	0	1	1
"ENSG00000230943"	1	0	0	0
"ENSG00000231105"	1	1	0	0
"ENSG00000231233"	1	0	0	1
"ENSG00000231584"	1	0	0	0
"ENSG00000231865"	1	1	0	0
"ENSG00000232133"	1	0	0	0
"ENSG00000232373"	1	0	0	0
"ENSG00000232517"	1	0	1	0
"ENSG00000232546"	1	0	0	0
"ENSG00000232618"	1	0	0	0
"ENSG00000232748"	1	0	0	0
"ENSG00000232810"	1	0	0	0
"ENSG00000233621"	1	1	1	1
"ENSG00000233896"	1	1	1	1
"ENSG00000234358"	1	0	0	0
"ENSG00000235978"	1	0	0	0
"ENSG00000236213"	1	0	0	0
"ENSG00000236530"	1	1	1	1
"ENSG00000236682"	1	0	0	0
"ENSG00000236829"	1	0	0	0
"ENSG00000237499"	1	1	1	1
"ENSG00000237513"	1	1	1	1
"ENSG00000237788"	1	0	0	0
"ENSG00000237879"	1	1	0	0
"ENSG00000238005"	1	0	0	0
"ENSG00000238446"	1	0	0	0
"ENSG00000238829"	1	0	0	0
"ENSG00000239948"	1	1	1	1
"ENSG00000240023"	1	0	0	0
"ENSG00000240291"	1	0	0	0
"ENSG00000241058"	1	0	0	0
"ENSG00000241319"	1	1	0	0
"ENSG00000241886"	1	0	0	0
"ENSG00000242113"	1	0	0	0
"ENSG00000242330"	1	0	0	0
"ENSG00000242853"	1	0	0	0
"ENSG00000243179"	1	1	1	0
"ENSG00000243609"	1	0	0	0
"ENSG00000243704"	1	0	0	0
"ENSG00000244242"	1	0	0	0
"ENSG00000244675"	1	0	0	0
"ENSG00000245149"	1	0	0	0
"ENSG00000246334"	1	0	0	0
"ENSG00000247400"	1	1	0	0
"ENSG00000248323"	1	0	0	0
"ENSG00000250274"	1	1	1	1
"ENSG00000251161"	1	0	0	0
"ENSG00000251194"	1	1	1	0
"ENSG00000251393"	1	0	0	0
"ENSG00000253111"	1	0	0	0
"ENSG00000253320"	1	1	0	0
"ENSG00000253372"	1	0	0	0
"ENSG00000253669"	1	1	1	1
"ENSG00000253729"	1	1	0	0
"ENSG00000254281"	1	1	1	1
"ENSG00000254415"	1	0	0	0
"ENSG00000254420"	1	0	0	0
"ENSG00000254477"	1	1	1	1
"ENSG00000254750"	1	0	0	0
"ENSG00000254884"	1	0	0	0
"ENSG00000255097"	1	1	0	0
"ENSG00000255163"	1	1	0	1
"ENSG00000255221"	1	0	0	0
"ENSG00000255355"	1	1	1	1
"ENSG00000255521"	1	1	1	1
"ENSG00000255670"	1	0	0	0
"ENSG00000256671"	1	0	0	0
"ENSG00000258227"	1	0	0	0
"ENSG00000258441"	1	0	0	0
"ENSG00000258872"	1	1	1	1
"ENSG00000259354"	1	0	0	0
"ENSG00000259398"	1	1	1	1
"ENSG00000259758"	1	1	1	1
"ENSG00000259912"	1	1	1	1
"ENSG00000259959"	1	0	1	1
"ENSG00000259962"	1	1	1	1
"ENSG00000260135"	1	1	1	1
"ENSG00000260144"	1	0	0	0
"ENSG00000260196"	1	1	1	1
"ENSG00000260672"	1	0	0	0
"ENSG00000260757"	1	0	0	0
"ENSG00000261024"	1	0	0	0
"ENSG00000261229"	1	0	1	0
"ENSG00000261574"	1	0	0	0
"ENSG00000262001"	1	0	0	0
"ENSG00000262514"	1	0	0	0
"ENSG00000264017"	1	0	0	0
"ENSG00000264469"	1	0	0	0
"ENSG00000264757"	1	0	0	0
"ENSG00000264831"	1	1	0	0
"ENSG00000265808"	1	0	0	0
"ENSG00000265871"	1	0	0	1
"ENSG00000265975"	1	1	0	0
"ENSG00000266378"	1	1	0	0
"ENSG00000266709"	1	1	0	0
"ENSG00000267365"	1	0	0	0
"ENSG00000267757"	1	0	0	0
"ENSG00000268240"	1	1	1	1
"ENSG00000268362"	1	0	0	0
"ENSG00000268635"	1	1	1	1
"ENSG00000269019"	1	0	0	0
"ENSG00000269821"	1	0	0	0
"ENSG00000269919"	1	0	0	0
"ENSG00000270210"	1	0	0	0
"ENSG00000270750"	1	0	0	0
"ENSG00000271383"	1	0	0	0
"ENSG00000271780"	1	1	1	1
"ENSG00000271856"	1	0	0	0
"ENSG00000271886"	1	0	0	0
"ENSG00000272016"	1	1	0	0
"ENSG00000272084"	1	0	0	0
"ENSG00000272379"	1	0	1	1
"ENSG00000272403"	1	0	0	0
"ENSG00000272540"	1	0	0	0
"ENSG00000272565"	1	0	0	0
"ENSG00000272669"	1	0	0	0
"ENSG00000272768"	1	1	1	1
"ENSG00000272911"	1	0	0	0
"ENSG00000273002"	1	0	0	0
"ENSG00000273142"	1	0	0	1
"ENSG00000273311"	1	0	0	0
"ENSG00000273341"	1	1	1	1
"ENSG00000273604"	1	0	0	0
"ENSG00000273691"	1	1	1	1
"ENSG00000273837"	1	0	0	0
"ENSG00000274215"	1	0	0	0
"ENSG00000274286"	1	1	0	1
"ENSG00000274528"	1	1	1	1
"ENSG00000274555"	1	1	1	0
"ENSG00000274767"	1	0	0	1
"ENSG00000275023"	1	1	1	1
"ENSG00000275302"	1	1	1	1
"ENSG00000275532"	1	0	0	0
"ENSG00000276070"	1	1	1	1
"ENSG00000276085"	1	1	1	1
"ENSG00000276248"	1	1	1	1
"ENSG00000276376"	1	0	0	0
"ENSG00000276404"	1	0	0	0
"ENSG00000276980"	1	0	0	0
"ENSG00000277443"	1	0	0	0
"ENSG00000277632"	1	1	1	1
"ENSG00000277895"	1	1	1	1
"ENSG00000277969"	1	1	1	1
"ENSG00000278546"	1	0	1	0
"ENSG00000278607"	1	0	0	0
"ENSG00000278792"	1	0	0	0
"ENSG00000278909"	1	0	0	0
"ENSG00000278976"	1	1	0	0
"ENSG00000279109"	1	0	0	0
"ENSG00000279166"	1	0	0	0
"ENSG00000279425"	1	0	0	0
"ENSG00000279447"	1	1	1	0
"ENSG00000279476"	1	0	0	0
"ENSG00000279699"	1	1	1	1
"ENSG00000279700"	1	0	0	0
"ENSG00000279821"	1	0	0	0
"ENSG00000279946"	1	0	0	0
"ENSG00000280008"	1	0	0	0
"ENSG00000280046"	1	0	0	1
"ENSG00000280228"	1	1	1	1
"ENSG00000280287"	1	0	0	0
"ENSG00000280292"	1	0	0	0
